Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
SpareBank 1 Finans Midt-Norge AS,Billån mellom 65 % og 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
SpareBank 1 SMN,Kaskofritt lån ATV/Snøscooter,14.75,2700.0,0.0,95.0,30000.0,133916.0,18,100,5,100.0
NORDirekte (Skagerrak Sparebank),Eika MC/ATV med 20 % til 35 % Egenkapital,8.85,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,80.0
Agder Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Haugesund Sparebank,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Sbanken (DNB Bank ASA),Grønt Billån 65 %,6.823,0.0,0.0,0.0,30000.0,1000000000.0,18,100,10,65.0
Stadsbygd Sparebank,Caravanlån 65 %,6.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,65.0
Handelsbanken AB NUF,Tekna Billån 65%,6.15,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,8,65.0
Valdres Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Askim og Spydeberg Sparebank,Caravanlån 100%,8.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,8,100.0
SpareBank 1 Finans Midt-Norge AS,Billån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Soknedal Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Sogn og Fjordane,Kaskofritt lån ATV/Snøscooter,14.75,2700.0,0.0,95.0,30000.0,133916.0,18,100,5,100.0
Sbanken (DNB Bank ASA),Grønt Billån 80 %,7.674,0.0,0.0,0.0,30000.0,1000000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,Billån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Orkla Sparebank,Eika MC/ATV over 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,65.0
Bjugn Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Sparebanken Sør,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Grue Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Askim og Spydeberg Sparebank,MC 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Ørskog Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
Søgne og Greipstad Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Ørskog Sparebank,Grønt Billån 20%-35% Egenkapital,7.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Lom og Skjåk,Billån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Sogn Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Skudenes & Aakra Sparebank,Fritidslån 65%,7.75,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,65.0
