Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
SpareBank 1 Østlande...,5.9,2200.0,0.0,1000.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.45,0,70.0,750.0,85.0,30,18,100
Trøgstad Sparebank,5.99,4000.0,75.0,1500.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.8,0,75.0,750.0,50.0,10,18,100
Oslofjord Sparebank,6.1,3000.0,75.0,0.0,75.0,30,18,100
SpareBank 1 Østfold ...,5.24,3000.0,60.0,0.0,90.0,30,18,33
Askim og Spydeberg S...,6.2,2500.0,50.0,1000.0,85.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
SpareBank 1 Østlande...,5.49,2300.0,60.0,1000.0,75.0,15,18,100
SpareBank 1 Hallingd...,6.0,0,75.0,750.0,60.0,10,18,100
KLP Banken AS,5.05,2750.0,55.0,0,85.0,30,18,100
KLP Banken AS,5.0,2750.0,55.0,0,85.0,30,18,100
KLP Banken AS,4.9,2000.0,35.0,0,85.0,30,18,100
Odal Sparebank,5.9,2500.0,70.0,750.0,55.0,30,18,100
KLP Banken AS,5.1,2750.0,55.0,0,85.0,30,18,100
Kvinesdal Sparebank,5.9,2500.0,50.0,500.0,75.0,25,18,33
Fana Sparebank,4.95,1500.0,50.0,500.0,75.0,30,18,100
KLP Banken AS,5.0,2000.0,35.0,0,85.0,30,18,100
Høland og Setskog Sp...,4.85,0.0,75.0,0.0,40.0,25,60,100
SpareBank 1 Hallingd...,5.6,0,70.0,750.0,50.0,30,18,100
Fana Sparebank,4.9,1500.0,50.0,500.0,75.0,30,18,100
KLP Banken AS,4.95,2000.0,35.0,0,85.0,30,18,100
Høland og Setskog Sp...,5.1,0.0,75.0,0.0,85.0,25,18,100
SpareBank 1 Hallingd...,5.35,0,70.0,750.0,85.0,25,18,100
Høland og Setskog Sp...,5.2,3500.0,75.0,0.0,90.0,30,18,100
Skandinaviska Enskil...,6.04,2500.0,100.0,0,60.0,30,18,100
Fana Sparebank,4.99,1500.0,50.0,500.0,75.0,30,18,100
SpareBank 1 Hallingd...,5.35,0,70.0,750.0,85.0,30,18,100
Grue Sparebank,5.39,3000.0,50.0,0.0,85.0,30,18,100
Orkla Sparebank,5.55,2000.0,60.0,1000.0,75.0,30,18,100
Odal Sparebank,6.0,2500.0,0.0,750.0,60.0,15,18,100
